appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
1,A Bastard's Tale,2015-05-26,1,No Pest Productions,No Pest Productions,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Indie;Action;Adventure,10,164,38,408,408,20000-50000,3.99
2,A Bewitching Revolution,2019-04-09,1,Colestia,Colestia,windows;mac,0,Single-player,Indie,Indie,0,25,1,0,0,0-20000,0.0
3,A Bird Story,2014-11-07,1,Freebird Games,Freebird Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie;RPG,Indie;Story Rich;Great Soundtrack,1,5987,1147,257,476,200000-500000,2.79
4,A Blind Legend,2016-04-07,1,Dowino,Plug In Digital,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Adventure;Action;Indie,10,136,34,189,189,0-20000,4.99
5,A Bloody Night,2017-06-22,1,Emanuele Leoncilli,Emanuele Leoncilli,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Violent;Gore;Action;Indie,Action;Gore;Violent,27,60,16,0,0,0-20000,3.99
6,A Bloody Party,2019-01-24,1,Michaela Laws,Michaela Laws,windows;mac;linux,0,Single-player;Steam Achievements,Adventure;Casual;Indie;RPG;Simulation,Adventure;Indie;Casual,13,3,2,0,0,0-20000,3.99
7,A Book of Beasts and Buddies,2018-11-14,1,Squiddershins,Squiddershins,windows,0,Single-player,Adventure;Casual;Free to Play;Indie;RPG;Simulation,Free to Play;Adventure;RPG,0,167,3,0,0,20000-50000,0.0
8,A Boy and His Beard,2018-02-09,1,Pixel Island,Pixel Island,windows,0,Single-player;Partial Controller Support,Action;Casual;Free to Play;Indie,Free to Play;Action;Indie,0,36,15,0,0,0-20000,0.0
9,A Boy and His Blob,2016-01-19,1,Abstraction Games;WayForward,Midnight City;Majesco Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure,Adventure;Puzzle-Platformer;Puzzle,21,253,118,108,108,50000-100000,6.99
10,A Business Power,2018-12-02,1,S.A. DigiWorks,S.A. DigiWorks,windows,0,Single-player,Simulation,Simulation,0,0,2,0,0,0-20000,3.99
11,A Butterfly in the District of Dreams,2017-05-12,1,Life a Little,Sekai Project,windows,0,Single-player;Steam Trading Cards,Casual;Indie,Indie;Casual;Visual Novel,0,9,0,0,0,0-20000,6.99
12,A Case of Distrust,2018-02-08,1,The Wandering Ben,Serenity Forge,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Detective;Indie,10,71,9,0,0,0-20000,11.39
13,A Chair in a Room : Greenwater,2016-03-30,1,Wolf & Wood Interactive Ltd,Wolf & Wood Interactive Ltd,windows,0,Single-player;Steam Achievements;VR Support;Steam Cloud,Adventure;Indie;Simulation,Adventure;Indie;Simulation,11,466,66,0,0,20000-50000,18.99
14,A Cheesy Game,2018-11-29,1,Levhi,Levhi,windows,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Includes level editor,Casual;Indie;Early Access,Early Access;Indie;Casual,12,3,0,0,0,0-20000,3.99
15,A City Sleeps™,2014-10-16,1,"Harmonix Music Systems, Inc","Harmonix Music Systems, Inc",windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Bullet Hell,16,51,33,0,0,20000-50000,6.99
16,A Clockwork Ley-Line: The Borderline of Dusk,2017-12-18,1,Unison Shift: Blossom,Sekai Project,windows,0,Single-player;Steam Trading Cards,Sexual Content;Nudity;Adventure,Sexual Content;Nudity;Adventure,0,27,2,571,571,0-20000,15.49
17,A Collection of Bad Moments,2018-01-12,1,Sky Trail Ltd,Sky Trail Ltd,windows,0,Single-player;Steam Achievements;Captions available;Partial Controller Support,Action;Adventure,Adventure;Action;Puzzle,9,14,7,0,0,0-20000,2.89
18,A Dance of Fire and Ice,2019-01-24,1,7th Beat Games,7th Beat Games;indienova,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Includes level editor,Indie,Indie;Rhythm;Music,20,1451,119,180,230,100000-200000,2.09
19,A Date in the Park,2016-07-19,1,Cloak and Dagger Games,Cloak and Dagger Games,windows,0,Single-player;Steam Achievements,Adventure,Adventure;Free to Play;Point & Click,9,906,143,51,51,100000-200000,0.0
20,A Day For A Kitten,2017-11-29,1,橘喵喵,INDIEGAMES.CN,windows,0,Single-player;Steam Achievements;Steam Cloud;Includes Source SDK,Indie;RPG;Simulation,Indie;RPG;Simulation,27,24,11,4,4,0-20000,1.69
21,A Day in the Woods,2016-10-26,1,RetroEpic Software,RetroEpic Software,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Casual;Indie;Strategy,Indie;Strategy;Casual,11,9,0,0,0,0-20000,3.99
22,A dead world's dream,2016-09-20,1,JoqLePecheur,JoqLePecheur,windows,0,Single-player;Steam Achievements,Adventure,Adventure;Platformer;Exploration,16,23,8,0,0,0-20000,0.0
23,A Demon's Game - Episode 1,2017-02-09,1,RP Studios,RP Studios,windows,0,Single-player;Steam Achievements,Violent;Gore;Action;Adventure;Indie,Action;Adventure;Indie,3,26,12,0,0,0-20000,2.79
24,A Detective's Novel,2016-07-28,1,Amaterasu Software,Amaterasu Software,windows,0,Single-player;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Visual Novel,0,510,231,611,269,200000-500000,0.79
25,A Divided Light,2018-04-03,1,Pinky Up Games,Pinky Up Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie,Indie;Casual,9,3,0,0,0,0-20000,1.69
26,A dragon girl looks up at the endless sky,2016-10-27,1,DebonosuWorks Inc.,DebonosuWorks Inc.,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Action;RPG,RPG;Action;Anime,0,25,3,0,0,0-20000,6.99
27,A Dream For Aaron,2018-03-09,1,Vidas Salavejus,Vidas Salavejus,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie,Casual;Action;Adventure,31,11,4,0,0,0-20000,5.59
28,A Druid's Duel,2015-02-25,1,Thoughtshelter Games,Surprise Attack ,windows;mac;linux,0,Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards,Indie;Strategy,Indie;Strategy;Multiplayer,49,76,27,0,0,0-20000,5.79
29,A Duel Hand Disaster: Trackher,2017-08-28,1,Ask An Enemy Studios,Ask An Enemy Studios,windows;mac,0,Single-player;Full controller support;Steam Leaderboards,Action;Indie;Early Access,Early Access;Action;Indie,0,14,0,0,0,0-20000,3.99
30,A Dump in the Dark,2018-01-24,1,Oubliette,Oubliette,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Sexual Content;Nudity;Violent;Gore;Action;Adventure;Casual;Indie;Simulation;Strategy,Gore;Nudity;Sexual Content,10,117,64,282,282,0-20000,1.69
31,a Family of Grave Diggers,2016-01-08,1,Ludvig Larsson,Mindoki Games,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie;RPG;Strategy;Early Access,Early Access;RPG;Action,5,7,6,0,0,0-20000,6.99
32,"A Fear Of Heights, And Other Things",2016-10-17,1,Fulby Technologies,Fulby Technologies,windows,0,Single-player,Casual;Indie;Simulation,Indie;Casual;Simulation,0,40,7,0,0,0-20000,0.79
33,A Feeble Saga,2019-02-25,1,Ayrik,Wasatch Games,windows;mac,0,Single-player;Full controller support,Action;Adventure;RPG;Early Access,Early Access;Action;Adventure,0,13,5,0,0,0-20000,3.99
34,A Fine Mess,2018-02-23,1,Santima Games,Santima Games,windows;mac,0,Single-player;Steam Achievements;Stats,Adventure;Indie,Adventure;Indie,9,11,3,0,0,0-20000,2.09
35,A Fisherman's Tale,2019-01-22,1,Innerspace VR,Vertigo Games,windows,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie,Adventure;Indie;VR,29,204,7,0,0,0-20000,13.99
36,A Fistful of Gun,2015-09-23,1,FarmerGnome,Devolver Digital,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Indie,Action;Indie;Western,14,284,136,267,444,100000-200000,9.99
37,A Flappy Bird in Real Life,2018-10-31,1,Cardinal Game Studio,Cardinal Game Studio,windows;mac;linux,0,Single-player;Steam Achievements,Casual;Indie;Simulation,Indie;Casual;Simulation,16,2,0,0,0,0-20000,1.69
38,A Foretold Affair,2017-03-10,1,GB Patch Games,GB Patch Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual;Visual Novel,16,14,0,0,0,0-20000,9.99
39,A Front Too Far: Normandy,2018-12-20,1,Marco Amadei,Corvostudio di Amadei Marco,windows;mac;linux,0,Single-player;Steam Achievements,Action;Adventure;Indie;RPG;Strategy,Action;Adventure;Violent,13,49,23,0,0,0-20000,4.99
40,A Game About,2018-11-06,1,byolivierb,byolivierb,windows;mac,0,Single-player;Steam Achievements,Free to Play;Indie,Free to Play;Indie;Point & Click,5,408,38,0,0,50000-100000,0.0
41,"A Game For You, Josh",2019-04-08,1,Penelope Evans,Penelope Evans,windows;mac,0,Single-player;Steam Achievements,Indie,Indie,6,1,0,0,0,0-20000,2.09
42,A Game of Changes,2016-06-02,1,Nuno Donato,Nuno Donato,windows;mac;linux,0,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Indie,Casual;Indie;Puzzle,0,23,21,0,0,20000-50000,4.99
43,A Game of Dwarves,2012-10-23,1,Zeal Game Studio,Paradox Interactive,windows,0,Single-player,Strategy;Casual,Strategy;Casual;City Builder,29,275,167,991,991,50000-100000,7.99
44,A Game of Thrones - Genesis,2011-09-28,1,Cyanide Studios,Focus Home Interactive;1C-SoftClub,windows,0,Single-player;Multi-player;Steam Achievements;Steam Leaderboards,Strategy,Strategy;RTS;Fantasy,75,201,420,8,8,100000-200000,6.99
45,A Gentlemanly Adventure,2018-11-02,1,Not Chicken Games,Not Chicken Games,windows;linux,0,Single-player;Steam Achievements;Includes level editor,Adventure;Casual;Indie;RPG,Adventure;Indie;Casual,20,4,0,0,0,0-20000,5.79
46,A Girls Fabric Face,2017-03-10,1,Stanislaw Truchowski,TurnVex,windows,0,Single-player;Steam Achievements,Adventure;Indie,Adventure;Indie;Horror,9,67,12,52,52,0-20000,1.99
47,A God-Like Backhand!,2017-02-16,1,Q-Ball Games LLC,Q-Ball Games LLC,windows,0,Single-player,Action;Adventure;Casual;Indie;Simulation,Action;Adventure;Indie,0,2,3,0,0,0-20000,0.79
48,A Golden Wake,2014-10-09,1,Grundislav Games,Wadjet Eye Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available,Adventure;Indie,Adventure;Indie;Point & Click,18,118,50,0,0,20000-50000,6.99
49,A Goo Adventure,2017-07-13,1,StarSystemStudios™,StarSystemStudios™,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie,Action;Adventure;Indie,270,15,14,1,1,0-20000,0.79
50,A Good Snowman Is Hard To Build,2015-02-25,1,Alan Hazelden;Benjamin Davis,Draknek,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie,Indie;Puzzle;Casual,5,197,9,0,0,20000-50000,6.99
51,A grande bagunça espacial - The big space mess,2016-04-05,1,RMAL,SouKing,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Casual;Indie,Action;Indie;Casual,100,639,386,252,245,200000-500000,0.79
52,A Gummy's Life,2018-10-02,1,EP Games®,EP Games®,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Funny;Multiplayer;Physics,0,56,12,0,0,0-20000,11.39
53,A Hand in the Darkness,2017-08-01,1,Ertal Games,Ertal Games,windows;mac;linux,16,Single-player;Steam Achievements,Sexual Content;Violent;Indie,Sexual Content;Violent;Indie,10,71,9,0,0,0-20000,6.99
54,A Handful of Keflings,2018-01-25,1,NinjaBee,NinjaBee,windows,0,Single-player;Steam Achievements,Simulation,Simulation;VR;Strategy,20,4,7,0,0,0-20000,15.49
55,A Hat in Time,2017-10-05,1,Gears for Breakfast,Gears for Breakfast,windows;mac,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor,Adventure;Indie,3D Platformer;Cute;Female Protagonist,37,14019,292,377,376,200000-500000,22.99
56,A Haunting : Witching Hour,2017-10-30,1,Enyx Studios,Enyx Studios,windows,0,Single-player;Full controller support,Violent;Gore;Adventure;Indie;Early Access,Early Access;Adventure;Indie,0,4,7,0,0,0-20000,3.99
57,A Healer Only Lives Twice,2016-06-02,1,Pon Pon Games,AGM PLAYISM,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;RPG;Strategy,Strategy;RPG;Indie,13,94,23,0,0,0-20000,3.99
58,A Hole New World,2017-05-19,1,MadGearGames,MadGearGames,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Retro;Pixel Graphics;Action,38,47,10,0,0,0-20000,6.99
59,A House of Many Doors,2017-02-03,1,Pixel Trickery,Pixel Trickery,windows;mac,0,Single-player,Indie;RPG,Indie;RPG;Story Rich,33,209,34,0,0,0-20000,7.99
60,A Kiss For The Petals - Remembering How We Met,2015-09-25,1,St. Michael's Girls School,MangaGamer,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure,Visual Novel;Anime;Female Protagonist,8,1035,82,215,215,50000-100000,5.59
61,A Large Quantity Of Mushrooms,2017-03-23,1,Raw Lion Workshop,Raw Lion Workshop,windows,0,Single-player,Adventure;Casual;Indie;Early Access,Early Access;Adventure;Indie,0,3,1,0,0,0-20000,6.99
62,A Legend of Luca,2016-04-05,1,Legend Studio,Legend Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,15,162,32,0,0,0-20000,14.99
63,A Legionary's Life,2019-04-19,1,Alessandro Roberti,Alessandro Roberti,windows,0,Single-player;Steam Achievements,Indie;RPG;Early Access,Early Access;RPG;Indie,23,22,8,0,0,0-20000,6.1
64,A Lenda do Herói - O Herói desta Canção,2016-03-24,0,Dumativa Creative Studio;Castro Brothers,Dumativa Creative Studio;Castro Brothers,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Adventure;Great Soundtrack;Indie,14,858,79,342,342,100000-200000,11.99
65,A Light in the Dark,2018-06-15,1,CreSpirit;Storia;Narrator,Sekai Project,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Violent;Gore;Casual;Indie,Gore;Indie;Visual Novel,12,799,45,310,310,0-20000,11.39
66,A Little Lily Princess,2016-05-19,1,Hanabira,Hanako Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Indie;Simulation,Visual Novel;Female Protagonist;Anime,9,183,13,0,0,0-20000,10.99
67,A Long Road Home,2017-01-31,1,One Bit Studio,One Bit Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie,Adventure;Casual;Indie,11,23,0,413,413,20000-50000,1.69
68,A Long Way Home,2016-05-27,1,Jonathan Mulcahy,Jonathan Mulcahy,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Casual;Adventure;Indie,22,22,12,2,2,0-20000,1.59
69,A Lost Room,2017-04-05,1,Cruel Byte,-,windows,0,Single-player,Adventure;Casual;Indie,Adventure;Indie;Casual,0,8,5,0,0,0-20000,6.99
70,A Lot Like Love,2018-06-18,1,KateGamesStudio,Dagestan Technology,windows,0,Single-player,Adventure;Indie,Adventure;Indie;Visual Novel,0,2,10,0,0,0-20000,3.99
71,A Lullaby of Colors VR,2019-02-21,1,Andrew C. Wang,Andrew C. Wang,windows,0,Single-player,Casual;Indie,Indie;Casual;VR,0,3,2,0,0,0-20000,3.99
72,A Magical High School Girl / 魔法の女子高生,2016-11-22,1,illuCalab,Sekai Project,windows,0,Single-player;Partial Controller Support,Adventure;Casual;Indie;RPG,RPG;Adventure;Indie,0,104,33,0,0,0-20000,6.99
73,A Mars Adventure: Redturtle,2018-09-26,1,QOVAQ,QOVAQ,windows,0,Single-player,Adventure;Simulation,Adventure;Simulation;VR,0,1,1,0,0,0-20000,5.79
74,A Mass of Dead,2015-07-15,1,Dev Arc,Dev Arc,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie,Indie;Action;Zombies,22,20,20,0,0,0-20000,3.99
75,A Matter of Murder,2016-09-01,1,Worthing & Moncrieff,Worthing & Moncrieff,windows;mac,0,Single-player;Steam Achievements,Adventure;Casual;Indie,Casual;Adventure;Indie,30,26,1,0,0,0-20000,2.09
76,A Mazeing Tower Defense,2017-08-29,1,A Mazeing Tower Defense,A Mazeing Tower Defense,windows,0,Single-player,Action;Casual;Strategy,Strategy;Action;Casual,0,4,10,0,0,0-20000,1.59
77,A meadow Piece,2019-03-07,1,Genlivpat,Genlivpat,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements,Casual;Indie;Simulation;Strategy,Casual;Simulation;Strategy,19,3,2,0,0,0-20000,10.99
78,A Midsummer Night's Choice,2016-08-25,1,Choice of Games,Choice of Games,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Steam Cloud,Adventure;Indie;RPG,Adventure;Indie;RPG,52,19,3,0,0,0-20000,5.19
79,A Mortician's Tale,2017-10-18,1,Laundry Bear Games,Laundry Bear Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;Female Protagonist,3,204,126,0,0,0-20000,7.19
80,a Museum of Dubious Splendors,2018-03-06,1,Studio Oleomingus,The Irregular Corporation,windows;mac;linux,0,Single-player;Partial Controller Support,Adventure;Casual;Free to Play;Indie,Free to Play;Indie;Adventure,0,72,22,0,0,0-20000,0.0
81,A New Beginning - Final Cut,2012-12-11,1,Daedalic Entertainment,Daedalic Entertainment,windows;mac,0,Single-player;Steam Achievements,Adventure;Indie,Adventure;Point & Click;Indie,28,1000,314,101,186,200000-500000,7.99
82,A New World: Kingdoms,2017-10-05,1,Red Phoenix Studios,Red Phoenix Studios,windows,0,Single-player;Steam Achievements,Casual;Indie;Strategy,Strategy;Indie;Casual,14,0,7,0,0,0-20000,5.19
83,A Normal Lost Phone,2017-01-26,1,Accidental Queens,Dear Villagers,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual;Interactive Fiction,13,1110,162,108,108,20000-50000,1.99
84,A Nova Califórnia,2017-11-19,1,Game e Arte,Game e Arte,windows,0,Single-player;Full controller support,Action;Adventure;Indie,Action;Adventure;Indie,0,5,2,0,0,0-20000,5.19
85,A Number's life,2016-12-13,1,AppGeneration,AppGeneration,windows;mac,0,Single-player;Steam Achievements;Steam Workshop;Includes level editor,Casual;Indie,Indie;Casual;Puzzle,12,6,1,0,0,0-20000,2.79
86,A Penny For Some Motivation,2018-04-10,1,LJumpStarTD,LJumpStarTD,windows,0,Single-player,Adventure;Casual;Indie,Adventure;Indie;Casual,2,1,1,0,0,0-20000,0.79
87,A Piece of Wish upon the Stars,2018-11-04,0,Lingtan Studio,Lingtan Studio,windows,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie;Simulation,Indie;Adventure;Simulation,20,63,4,0,0,0-20000,6.19
88,A Plot Story,2017-09-21,1,Shaman Games Studio,Shaman Games Studio,windows;mac,0,Single-player,Casual,Casual;Puzzle;Hidden Object,0,17,20,0,0,0-20000,3.99
89,A Princess' Tale,2016-05-20,1,Warfare Studios,Warfare Studios,windows,0,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,Adventure;RPG;Indie,0,17,12,128,128,0-20000,3.99
90,A Quick Death,2017-07-11,1,Axiomatic Games,Axiomatic Games,windows,0,Local Multi-Player;Shared/Split Screen;Full controller support,Action;Casual;Indie,Action;Indie;Casual,0,4,0,0,0,0-20000,0.79
91,A Quiet Mind,2018-06-04,1,Eitan Prince,Eitan Prince,windows;mac;linux,0,Single-player;Full controller support,Adventure;Indie,Adventure;Indie;Puzzle,0,1,1,0,0,0-20000,1.69
92,A Quiver of Crows,2016-10-19,1,Sheado.net,Sheado.net,windows;mac;linux,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Shoot 'Em Up,13,27,11,0,0,0-20000,10.99
93,A Raven Monologue,2018-01-11,1,Mojiken Studio,Toge Productions,windows;mac,0,Single-player,Casual;Free to Play;Indie,Free to Play;Indie;Casual,0,1405,69,8,8,100000-200000,0.0
94,A Rite from the Stars,2018-07-18,1,Risin' Goat,Phoenix Online Publishing,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Adventure,Adventure;Point & Click;Indie,48,14,1,0,0,0-20000,11.39
95,A Robot Named Fight!,2017-09-07,1,Matt Bitner Games,Matt Bitner Games,windows;mac;linux,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Violent;Gore;Action;Indie,Action;Metroidvania;Indie,60,271,30,279,279,20000-50000,10.29
96,A Roll-Back Story,2018-08-30,1,iQuantile,iQuantile,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Adventure;Indie,Indie;Difficult;Adventure,8,10,4,0,0,0-20000,3.99
97,A Room Beyond,2017-06-13,1,René Bühling,René Bühling,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,44,14,3,0,0,0-20000,5.59
98,A Rose in the Twilight / ロゼと黄昏の古城,2017-04-11,1,"Nippon Ichi Software, Inc.","NIS America, Inc.",windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Strategy,Adventure;Female Protagonist;Anime,28,148,18,0,0,0-20000,14.99
99,A Salem Witch Trial - Murder Mystery,2018-02-22,1,Digital Bento,Digital Bento,windows,0,Single-player,Adventure;Indie;Simulation,Indie;Adventure;Simulation,10,31,13,0,0,0-20000,2.09
100,A SECOND BEFORE US,2017-05-10,1,DimleTeam,DimleTeam,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Adventure;Indie;Exploration,16,38,28,302,302,20000-50000,2.89
101,A Second Chance,2019-01-07,1,Gamebringer,Gamebringer,windows,0,Single-player,Adventure;Indie;RPG;Simulation;Early Access,Early Access;Adventure;Indie,0,1,0,0,0,0-20000,4.79
102,A Shawn Story,2017-10-04,1,SirGoose,MyGamePublisher,windows,0,Single-player;Commentary available,Adventure;Casual;Indie,Adventure;Indie;Casual,0,6,18,0,0,0-20000,0.79
103,A Shooty Bit,2017-02-20,1,Gameland Arr En Dee,Gameland Studios,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action;Indie,Action;Indie;Shoot 'Em Up,9,7,2,0,0,0-20000,1.59
104,A Show of Kindness,2018-11-15,1,Google,Google,windows,0,Single-player,Adventure;Casual,Adventure;Casual;VR,0,16,0,0,0,0-20000,0.0
105,A Sirius Game,2015-08-21,1,"Overcloud9, Phantasm Games",Aldorlea Games,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie;RPG;Simulation;Strategy,Strategy;Action;Adventure,0,23,22,0,0,0-20000,3.99
106,A Sky Full of Stars,2017-12-15,1,MoeNovel,MoeNovel,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Simulation,Visual Novel;Casual;Simulation,20,205,10,0,0,0-20000,13.99
107,A Small Robot Story,2017-12-19,1,bc likes you,MAGIC Spell Studios,windows,0,Single-player;Steam Achievements;Partial Controller Support,Adventure,Adventure;Platformer;Pixel Graphics,16,14,1,0,0,0-20000,3.99
108,A Snake's Tale,2017-07-06,1,m12y,m12y,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support,Indie,Indie;Casual;Puzzle,1,18,0,0,0,0-20000,1.99
109,A song in the void,2019-03-15,1,Armogaste,Armogaste,windows,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie,Adventure;Indie;Action,23,10,0,0,0,0-20000,11.39
110,A Stickman Reality,2018-10-07,1,ImproVive,ImproVive,windows,0,Single-player,Casual;Free to Play;Indie,Free to Play;Casual;Indie,0,24,3,0,0,20000-50000,0.0
111,A Story About My Uncle,2014-05-28,1,Gone North Games,Coffee Stain Publishing,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Adventure;First-Person;Parkour,15,17924,1642,193,220,5000000-10000000,9.99
112,A Story of a Band,2018-06-19,1,Hot Byte Games,Hot Byte Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud,Indie;Simulation;Strategy,Indie;Strategy;Simulation,50,13,0,0,0,0-20000,3.99
113,A Story of Distress,2018-04-02,1,Yellow Panda Games,Yellow Panda Games,windows,0,Single-player;Steam Achievements,Action;Adventure;Indie;Strategy,Action;Adventure;Strategy,19,8,6,0,0,0-20000,7.19
114,A Story of Us - ep. 1 - First Memories,2019-02-27,1,Towerfilm,Towerfilm,windows,0,Single-player,Adventure;Indie,Adventure;Indie;Nudity,0,1,1,0,0,0-20000,4.79
115,A Stroke of Fate: Operation Bunker,2015-08-24,1,Spline Games,Akella,windows,0,Single-player,Adventure,Adventure;Point & Click,0,3,4,0,0,0-20000,4.99
116,A Stroke of Fate: Operation Valkyrie,2011-10-28,1,SPLine,Akella,windows,0,Single-player,Adventure,Adventure;Point & Click,0,15,10,0,0,0-20000,4.99
117,A Study in Steampunk: Choice by Gaslight,2015-11-20,1,Hosted Games,Hosted Games,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Steam Cloud,Indie;RPG,Indie;RPG;Steampunk,57,128,4,0,0,0-20000,2.89
118,A Sun Of Salt,2018-08-28,1,NikuTreat,NikuTreat,windows;mac;linux,0,Single-player,Sexual Content;Violent;Indie,Sexual Content;Indie;Violent,0,6,1,0,0,0-20000,3.99
119,A Tale of Caos: Overture,2016-12-21,1,ExperaGameStudio,Eli Daddio,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,43,26,11,0,0,0-20000,5.99
120,A Tale of Pirates: a Dummy Mutiny,2018-05-23,1,Studio Clangore,Cranio Creations Digital,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Indie,Action;Indie;VR,14,2,1,0,0,0-20000,2.89
121,A Tale of Two Kingdoms,2017-10-31,1,Crystal Shard,Crystal Shard,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Commentary available,Adventure;Indie,Adventure;Indie;Fantasy,34,16,1,0,0,0-20000,8.99
